Team,Mean of Matches played,Median of Matches played,Std of Matches played,Mean of Starts,Median of Starts,Std of Starts,Mean of Minutes,Median of Minutes,Std of Minutes,Mean of Goals,Median of Goals,Std of Goals,Mean of Assists,Median of Assists,Std of Assists,Mean of Yellow Cards,Median of Yellow Cards,Std of Yellow Cards,Mean of Red Cards,Median of Red Cards,Std of Red Cards,Mean of xG,Median of xG,Std of xG,Mean of xAG,Median of xAG,Std of xAG,Mean of Prg Carries,Median of Prg Carries,Std of Prg Carries,Mean of Prg Passes,Median of Prg Passes,Std of Prg Passes,Mean of Prg Passes Rec,Median of Prg Passes Rec,Std of Prg Passes Rec,Mean of Goals/90,Median of Goals/90,Std of Goals/90,Mean of Assists/90,Median of Assists/90,Std of Assists/90,Mean of xG/90,Median of xG/90,Std of xG/90,Mean of xGA/90,Median of xGA/90,Std of xGA/90,Mean of GA90,Median of GA90,Std of GA90,Mean of Save%,Median of Save%,Std of Save%,Mean of CS%,Median of CS%,Std of CS%,Mean of PK_Save%,Median of PK_Save%,Std of PK_Save%,Mean of SoT%,Median of SoT%,Std of SoT%,Mean of Sot/90,Median of Sot/90,Std of Sot/90,Mean of G/sh,Median of G/sh,Std of G/sh,Mean of Shoot_Dist,Median of Shoot_Dist,Std of Shoot_Dist,Mean of Passes Completed (Cmp),Median of Passes Completed (Cmp),Std of Passes Completed (Cmp),Mean of Cmp%,Median of Cmp%,Std of Cmp%,Mean of Total Dist,Median of Total Dist,Std of Total Dist,Mean of Short_Cmp%,Median of Short_Cmp%,Std of Short_Cmp%,Mean of Medium_Cmp%,Median of Medium_Cmp%,Std of Medium_Cmp%,Mean of Long_Cmp%,Median of Long_Cmp%,Std of Long_Cmp%,Mean of Key Passes,Median of Key Passes,Std of Key Passes,Mean of Pass 1/3,Median of Pass 1/3,Std of Pass 1/3,Mean of Pass PA,Median of Pass PA,Std of Pass PA,Mean of Cross PA,Median of Cross PA,Std of Cross PA,Mean of Prg Passes (Pass),Median of Prg Passes (Pass),Std of Prg Passes (Pass),Mean of Shot-Creating Actions (SCA),Median of Shot-Creating Actions (SCA),Std of Shot-Creating Actions (SCA),Mean of SCA90,Median of SCA90,Std of SCA90,Mean of Goal-Creating Actions (GCA),Median of Goal-Creating Actions (GCA),Std of Goal-Creating Actions (GCA),Mean of GCA90,Median of GCA90,Std of GCA90,Mean of Tkl,Median of Tkl,Std of Tkl,Mean of Tkl Won,Median of Tkl Won,Std of Tkl Won,Mean of Dribbles Challenged (Att),Median of Dribbles Challenged (Att),Std of Dribbles Challenged (Att),Mean of Challenges Lost,Median of Challenges Lost,Std of Challenges Lost,Mean of Blocks,Median of Blocks,Std of Blocks,Mean of Shots Blocked,Median of Shots Blocked,Std of Shots Blocked,Mean of Pass Blocked,Median of Pass Blocked,Std of Pass Blocked,Mean of Interceptions,Median of Interceptions,Std of Interceptions,Mean of Touches,Median of Touches,Std of Touches,Mean of Def_Pen,Median of Def_Pen,Std of Def_Pen,Mean of Def_3rd,Median of Def_3rd,Std of Def_3rd,Mean of Mid_3rd,Median of Mid_3rd,Std of Mid_3rd,Mean of Att_3rd,Median of Att_3rd,Std of Att_3rd,Mean of Att_Pen,Median of Att_Pen,Std of Att_Pen,Mean of Attempted,Median of Attempted,Std of Attempted,Mean of Successful %,Median of Successful %,Std of Successful %,Mean of Tkld%,Median of Tkld%,Std of Tkld%,Mean of Carries,Median of Carries,Std of Carries,Mean of PrgDist,Median of PrgDist,Std of PrgDist,Mean of PrgC (Poss),Median of PrgC (Poss),Std of PrgC (Poss),Mean of Carries_1/3,Median of Carries_1/3,Std of Carries_1/3,Mean of Carries_CPA,Median of Carries_CPA,Std of Carries_CPA,Mean of Miscontrols,Median of Miscontrols,Std of Miscontrols,Mean of Dispossessed,Median of Dispossessed,Std of Dispossessed,Mean of Passes Rec,Median of Passes Rec,Std of Passes Rec,Mean of Prg Rec (Poss),Median of Prg Rec (Poss),Std of Prg Rec (Poss),Mean of Fouls Committed,Median of Fouls Committed,Std of Fouls Committed,Mean of Fouls Drawn,Median of Fouls Drawn,Std of Fouls Drawn,Mean of Offsides,Median of Offsides,Std of Offsides,Mean of Crosses,Median of Crosses,Std of Crosses,Mean of Recov,Median of Recov,Std of Recov,Mean of Aerials Won,Median of Aerials Won,Std of Aerials Won,Mean of Aerials Lost,Median of Aerials Lost,Std of Aerials Lost,Mean of Aerials Won%,Median of Aerials Won%,Std of Aerials Won%
All,21.20570265,23.0,10.09184597,15.56619145,15.0,11.01303484,465.11650485,442.5,273.11996117,2.02443992,1.0,3.55817734,1.50712831,1.0,2.22542133,2.98574338,2.0,2.65149176,0.08961303,0,0.3065843,2.0490835,0.8,3.13487528,1.51323829,0.9,1.898143,26.4114053,15.0,31.18355454,52.12627291,38.0,50.72024454,51.45213849,25.0,65.01625582,0.11892057,0.03,0.18228106,0.08887984,0.04,0.12250851,0.13181263,0.07,0.16011786,0.09553971,0.07,0.10064417,1.65619048,1.485,0.76939619,66.71428571,68.15,11.11477969,24.78809524,17.9,25.10080363,17.84814815,0.0,29.40161391,29.64768519,30.0,19.88073358,0.39283096,0.22,0.46526175,0.07891204,0.06,0.09999755,16.70763889,16.3,5.08340295,561.06313646,459.0,467.39161363,79.18757637,80.2,8.36231759,9647.53564155,7340.0,8462.07312155,88.79898167,89.9,6.78866244,84.12382892,85.8,10.22092803,54.04783505,53.7,15.73116677,13.78207739,8.0,15.58935287,43.75763747,29.0,45.61395595,11.75967413,6.0,14.61489606,2.80448065,1.0,4.376941,52.12016293,38.0,50.72623421,32.26680244,21.0,32.73075222,2.06553971,1.79,1.44231965,3.53156823,2.0,4.26094286,0.21260692,0.15,0.22180182,24.91649695,17.0,22.95263874,14.89409369,10.0,14.07751811,22.71283096,17.0,20.66321335,11.13645621,8.0,10.56175788,15.46435845,12.0,13.9213627,5.23217923,2.0,7.40594515,10.23217923,8.0,9.52264022,11.32179226,7.0,11.89933601,848.0712831,748.0,634.20748312,96.14867617,31.0,178.52489763,281.26272912,159.0,312.6438448,360.54175153,281.0,321.3020319,214.61507128,143.0,213.11168026,35.0,20.0,41.7222106,25.66802444,14.0,31.71650211,11.13238289,6.0,14.1991948,11.47454175,6.0,14.67737616,475.42769857,405.0,365.21548066,1320.42158859,1042.0,1113.85978831,26.40733198,15.0,31.18688021,17.7209776,13.0,18.52757316,8.21181263,2.0,14.50713909,19.27291242,13.0,19.78844384,13.30346232,8.0,14.96566029,555.13441955,486.0,428.42835976,51.44195519,25.0,65.02362358,15.66802444,12.0,14.04387353,15.19551935,10.0,15.00130812,2.39511202,1.0,4.01409462,24.79226069,9.0,36.38458999,58.82688391,45.0,47.220505,18.40529532,10.0,21.69079304,18.3401222,13.0,18.83831309,49.01260331,50.0,21.81997552
Aston Villa,20.23076923,22.0,10.27738368,14.53846154,12.5,11.73108953,455.91666667,460.0,270.29931501,2.03846154,1.0,3.37616077,1.61538462,0.0,2.45074557,2.38461538,2.0,2.31649603,0.03846154,0,0.19611614,2.08076923,0.85,3.05024841,1.51538462,0.55,2.06275395,24.96153846,19.0,24.17185267,46.80769231,34.5,49.04611645,46.26923077,25.5,53.14700947,0.18307692,0.045,0.28734327,0.09192308,0.0,0.11610406,0.20230769,0.08,0.25380792,0.09192308,0.05,0.10751816,1.68,1.68,0.45254834,61.15,61.15,7.84888527,58.8,58.8,58.26559877,50.0,50.0,N/a,31.54782609,29.4,20.74868823,0.5,0.21,0.69171671,0.08086957,0.06,0.08010862,16.81304348,16.7,4.65073839,517.0,504.5,432.44930339,81.33461538,81.95,7.21076652,8879.76923077,7476.5,8081.80158285,90.22692308,91.45,5.38424054,86.34230769,86.45,8.00315803,54.06153846,53.9,15.76160086,12.88461538,8.5,15.23503048,40.34615385,24.0,47.88648436,11.07692308,8.0,12.9828289,2.0,0.0,3.80525952,46.80769231,34.5,49.04611645,30.30769231,22.5,30.4470284,2.155,1.93,1.42230025,3.69230769,2.5,3.90660191,0.24884615,0.195,0.20737072,22.30769231,12.0,21.06707238,12.88461538,6.5,12.82911353,19.11538462,12.5,19.47372984,8.34615385,6.0,8.4282492,11.34615385,11.0,9.32498711,3.84615385,3.0,4.38809578,7.5,6.0,6.54369926,8.38461538,6.0,8.62126173,758.53846154,700.0,579.52471773,92.26923077,32.0,198.06757588,255.61538462,147.0,307.91818094,323.53846154,262.0,306.96295943,186.92307692,120.0,172.44637963,33.19230769,22.0,38.54661514,25.0,17.5,31.15766358,11.11538462,8.0,13.55087281,10.19230769,7.5,13.79570725,428.84615385,424.0,321.03005371,1238.57692308,1141.5,950.14605922,24.96153846,19.0,24.17185267,15.38461538,13.5,13.40172205,7.38461538,2.0,10.94742681,17.69230769,10.0,22.21489452,13.69230769,8.5,15.62246903,507.34615385,494.0,390.28112353,46.26923077,25.5,53.14700947,14.0,8.5,13.90827092,17.26923077,10.0,18.22428642,1.84615385,0.5,2.97579983,21.30769231,6.0,35.20655533,48.96153846,40.0,37.39356177,13.07692308,9.5,12.36098079,14.5,10.0,14.23867971,41.316,50.0,23.30691385
Arsenal,23.27272727,23.5,8.06628384,17.5,16.5,10.39574089,658.11111111,703.0,259.25057591,2.81818182,2.0,2.80537517,2.31818182,1.5,2.74965563,2.90909091,2.5,1.97385508,0.22727273,0,0.52841345,2.56363636,1.65,2.64098565,1.93181818,0.9,2.18771165,35.31818182,23.0,32.69685636,77.0,56.5,62.44311697,75.95454545,52.0,77.48823399,0.16272727,0.105,0.16406102,0.13727273,0.105,0.1499899,0.15272727,0.1,0.14166297,0.11954545,0.09,0.11712741,0.89,0.89,N/a,74.1,74.1,N/a,34.3,34.3,N/a,0.0,0.0,N/a,27.86190476,30.9,16.67769397,0.40909091,0.22,0.40970267,0.13714286,0.14,0.12969745,14.64285714,15.0,4.96926266,717.68181818,468.5,560.33505167,82.32272727,82.95,6.2656989,11757.95454545,7398.0,9938.89093879,90.88636364,91.75,4.67468313,84.95454545,86.3,7.85946365,55.31818182,53.35,9.7624956,17.5,10.0,17.78107608,58.09090909,40.5,52.91854396,18.27272727,9.0,18.49371017,3.0,1.5,3.62530787,77.0,56.5,62.44311697,39.86363636,25.0,34.14297035,2.45,2.24,1.4035601,5.0,3.0,5.59761854,0.29227273,0.24,0.29947465,24.63636364,19.5,20.72620944,14.68181818,12.0,12.63549936,21.36363636,21.0,14.85660172,10.63636364,11.0,7.57530735,13.68181818,10.0,11.16707048,4.40909091,1.5,6.8358933,9.27272727,7.5,7.88719166,9.63636364,6.0,8.86698239,1008.95454545,771.5,673.68414793,75.81818182,25.0,170.013343,254.45454545,125.0,337.02631341,439.0,296.0,390.88714727,323.09090909,225.0,237.02399097,53.77272727,38.5,50.36148549,30.59090909,23.5,29.14603476,13.36363636,9.0,11.66821264,13.40909091,9.0,14.87618452,593.27272727,427.0,410.16003634,1677.63636364,1358.0,1143.70386383,35.31818182,23.0,32.69685636,21.95454545,19.5,18.3678738,12.13636364,4.5,15.45899478,20.13636364,15.5,15.94423453,15.86363636,13.5,13.52350847,710.86363636,552.0,492.2018842,75.95454545,52.0,77.48823399,16.95454545,14.0,11.27355639,17.04545455,17.0,12.40382918,3.54545455,2.0,3.68687857,32.18181818,11.0,42.69006393,59.68181818,49.5,41.36755845,19.90909091,10.5,19.78674181,19.36363636,15.5,17.64611236,47.82727273,51.15,19.0146856
Bournemouth,22.2173913,26.0,10.18000054,16.69565217,17.0,11.63237951,423.33333333,426.0,225.73823336,2.34782609,1.0,3.58796848,1.69565217,1.0,2.05459093,3.86956522,3.0,3.07932029,0.08695652,0,0.28810407,2.6826087,1.1,3.57715633,1.80869565,1.1,1.87420602,29.86956522,19.0,34.65322279,58.47826087,43.0,52.05230723,57.65217391,31.0,71.61171101,0.13521739,0.03,0.18007245,0.10043478,0.04,0.11451392,0.18086957,0.08,0.20232541,0.12826087,0.1,0.14858888,1.08333333,1.0,0.14433757,80.0,80.0,4.6,15.0,20.0,13.22875656,0.0,0.0,N/a,25.02,29.7,16.67303527,0.53826087,0.15,0.64960584,0.06,0.065,0.05666151,15.805,16.45,4.37594802,504.7826087,436.0,408.76120574,73.93043478,74.3,6.57567382,9147.95652174,7088.0,7897.39172407,86.84347826,88.0,7.08993051,81.62173913,78.3,10.80180778,46.66086957,47.8,17.88754618,17.7826087,11.0,16.55831711,48.2173913,37.0,47.72549968,13.2173913,7.0,13.86937936,4.04347826,2.0,5.53072625,58.47826087,43.0,52.05230723,40.7826087,28.0,36.34550932,2.57217391,2.35,1.86811027,3.95652174,2.0,4.19391617,0.22826087,0.21,0.20687397,27.95652174,21.0,23.43361661,16.13043478,10.0,14.50800515,25.60869565,25.0,21.31098549,13.56521739,13.0,10.71034371,18.82608696,16.0,16.69418019,5.73913043,3.0,7.26271544,13.08695652,8.0,12.64160894,14.39130435,10.0,15.62265002,852.47826087,783.0,626.54898013,90.26086957,44.0,153.46578458,257.30434783,159.0,280.4485749,365.95652174,316.0,322.88183573,239.73913043,133.0,238.20430829,39.52173913,19.0,48.08219247,27.08695652,16.0,32.48623911,11.60869565,6.0,15.86230274,12.2173913,7.0,14.18371833,458.34782609,483.0,342.49852139,1442.08695652,1183.0,1300.39930626,29.86956522,19.0,34.65322279,21.08695652,17.0,20.42706103,9.08695652,1.0,16.02813731,23.52173913,18.0,21.60570119,14.08695652,8.0,17.22290505,499.69565217,435.0,370.47726403,57.65217391,31.0,71.61171101,20.52173913,16.0,17.98451244,15.60869565,10.0,13.89486213,2.73913043,0.0,5.07415368,32.95652174,10.0,41.37245269,73.2173913,59.0,57.25378632,23.17391304,20.0,21.29586425,24.60869565,22.0,20.97994525,50.18181818,47.0,18.40014587
Brighton,19.53571429,21.0,10.0350576,13.75,10.0,10.12742884,490.6,441.0,300.22106141,1.96428571,1.0,2.99977953,1.32142857,1.0,1.61138476,2.67857143,2.0,2.59705776,0.10714286,0,0.31497039,1.91071429,0.75,2.64355811,1.32142857,1.0,1.39850638,26.35714286,18.5,30.0138416,49.78571429,40.0,50.20798014,49.46428571,27.0,62.593623,0.12071429,0.045,0.14892028,0.09178571,0.035,0.13134782,0.12857143,0.09,0.11850033,0.1025,0.085,0.07829786,1.085,1.085,0.82731493,69.85,69.85,7.28319985,34.1,34.1,22.48599564,0.0,0.0,N/a,30.56538462,29.3,21.94210459,0.44821429,0.295,0.64936467,0.08038462,0.055,0.08995469,17.45769231,16.5,3.82289661,517.21428571,343.0,488.9752972,79.32857143,80.55,8.15656324,8798.57142857,4862.0,9292.45837755,89.52857143,90.3,6.11057718,81.26428571,82.1,10.62227618,54.04642857,52.55,15.59364738,11.89285714,9.5,10.06401468,38.64285714,23.0,48.63257123,10.92857143,7.5,10.50900345,2.85714286,1.0,3.81725406,49.78571429,40.0,50.20798014,29.96428571,24.0,23.63845289,2.47,2.81,1.21973585,3.53571429,3.0,3.01210082,0.29785714,0.285,0.27518825,22.64285714,16.5,19.76194301,13.82142857,10.0,12.09240218,22.85714286,18.0,18.71365967,11.71428571,9.0,9.16053186,14.42857143,12.0,12.25781254,4.0,2.0,5.45011043,10.42857143,9.5,9.94960848,10.35714286,8.5,9.94508733,775.75,644.5,627.33366543,85.67857143,23.5,197.2154403,247.39285714,121.5,328.12873933,337.5,229.0,329.73541582,199.46428571,149.0,179.5109575,34.57142857,17.0,42.02770565,26.67857143,12.5,31.83295936,11.17857143,6.0,13.07826461,13.0,6.0,17.05980765,455.5,377.0,391.56613367,1366.39285714,1092.0,1430.18626964,26.35714286,18.5,30.0138416,18.57142857,16.0,18.62381703,8.5,3.0,14.99506092,18.89285714,10.5,19.16079965,11.5,7.0,12.36632225,511.25,417.0,430.06998784,49.46428571,27.0,62.593623,14.60714286,11.0,12.46428761,13.67857143,8.0,14.56035605,1.46428571,1.0,1.83549656,22.53571429,10.0,27.83879806,53.07142857,40.5,44.24755994,17.25,12.0,18.54249374,15.67857143,11.0,14.81754109,50.05925926,53.8,20.09338313
Brentford,23.52380952,28.0,11.38252629,18.33333333,21.0,13.2978695,307.28571429,183.0,253.45263482,2.9047619,0.0,5.53989857,1.95238095,2.0,2.43877409,2.52380952,2.0,1.88730092,0.04761905,0,0.21821789,2.60952381,0.8,4.19677314,1.8952381,1.2,2.23102582,25.85714286,12.0,32.37635822,58.28571429,52.0,54.49416745,57.57142857,27.0,77.18003073,0.11571429,0.0,0.19464253,0.09857143,0.09,0.10412904,0.12095238,0.06,0.16080749,0.10428571,0.08,0.08941876,1.385,1.385,0.20506097,61.55,61.55,16.33416665,58.8,58.8,58.26559877,0.0,0.0,N/a,30.88888889,34.8,17.7980134,0.3152381,0.17,0.3816624,0.07833333,0.05,0.08672133,15.93333333,15.3,4.31168044,582.23809524,489.0,445.78513936,76.69047619,77.3,7.84429122,10679.14285714,7626.0,9438.22819329,86.7952381,87.7,7.66925526,82.28571429,79.9,9.7313558,54.84285714,55.0,13.49257468,14.52380952,9.0,17.53744294,48.0952381,42.0,40.91931666,14.0,7.0,18.70026738,3.9047619,2.0,5.27166731,58.28571429,52.0,54.49416745,34.0952381,21.0,35.68880043,1.8747619,1.72,1.1583161,5.0,2.0,5.82237065,0.27904762,0.2,0.27171501,27.52380952,25.0,22.23425071,16.52380952,17.0,12.89038032,25.47619048,26.0,20.60247327,11.85714286,11.0,10.51801176,21.19047619,17.0,19.30704288,8.71428571,4.0,12.942731,12.47619048,13.0,10.38565861,12.76190476,8.0,12.30001936,937.04761905,804.0,669.68921719,145.57142857,52.0,290.90867492,366.47619048,232.0,421.08082586,349.04761905,348.0,279.64378702,230.04761905,160.0,234.92093908,43.0,24.0,47.19110086,27.33333333,13.0,33.91066696,11.76190476,6.0,15.16543689,12.52380952,6.0,15.82598827,493.66666667,410.0,361.55391484,1371.57142857,1204.0,1143.6432823,25.85714286,12.0,32.37635822,15.95238095,11.0,18.81615314,9.19047619,1.0,17.53173992,23.28571429,14.0,26.44833238,12.57142857,8.0,13.54463521,573.52380952,497.0,410.86830239,57.57142857,27.0,77.18003073,13.33333333,12.0,10.82281541,15.04761905,10.0,14.57901297,2.95238095,1.0,4.47745676,29.52380952,14.0,45.98545319,71.0,50.0,55.45087916,27.52380952,12.0,31.9211827,23.95238095,14.0,23.96137765,54.88571429,55.5,19.60982625
Crystal Palace,23.52380952,30.0,11.49181904,17.71428571,19.0,13.35343722,338.25,284.0,282.49133994,1.76190476,0.0,3.41913384,1.52380952,1.0,2.08851736,3.57142857,2.0,3.41425583,0.19047619,0,0.40237391,2.4952381,1.0,3.4970668,1.8952381,1.5,2.14417261,21.28571429,11.0,23.00683128,48.85714286,47.0,40.48368278,49.33333333,11.0,64.9740974,0.07333333,0.0,0.12563174,0.06047619,0.03,0.07896051,0.13666667,0.07,0.14378224,0.09952381,0.11,0.07579421,1.37,1.37,N/a,67.1,67.1,N/a,28.6,28.6,N/a,50.0,50.0,N/a,29.34736842,31.6,18.47825654,0.43761905,0.27,0.48104994,0.05157895,0.0,0.07143475,18.13684211,17.7,5.9355998,505.38095238,541.0,406.54415212,75.06666667,75.6,6.61289145,9053.80952381,8735.0,7833.81972999,84.44285714,84.5,5.75991071,82.22380952,82.5,10.30771094,47.97,46.7,15.3171421,15.95238095,9.0,16.39962253,37.71428571,27.0,33.02747774,11.9047619,4.0,12.79024926,3.0,1.0,4.40454311,48.71428571,47.0,40.65481873,37.19047619,27.0,35.85891667,2.42095238,2.11,1.75278893,3.61904762,3.0,3.42747999,0.17285714,0.15,0.16604647,32.42857143,21.0,30.43940116,19.0,12.0,19.22238279,27.28571429,23.0,22.83011795,13.57142857,15.0,10.41907591,20.0952381,16.0,18.64646015,5.71428571,2.0,7.00102033,14.38095238,13.0,13.31343754,13.42857143,11.0,14.67845846,863.14285714,871.0,649.59335632,107.76190476,24.0,218.55088761,319.28571429,177.0,372.11062103,357.66666667,377.0,282.73951498,194.38095238,146.0,190.70041326,33.66666667,18.0,36.89760607,20.85714286,12.0,30.16502232,9.0952381,4.0,14.20177722,9.71428571,4.0,14.31831993,433.71428571,430.0,325.5612297,1071.76190476,1004.0,820.94847005,21.19047619,11.0,23.09462935,14.9047619,10.0,14.50139566,5.14285714,1.0,7.5649568,21.66666667,16.0,21.06972552,14.38095238,13.0,14.59272487,502.0,533.0,366.67574231,49.0952381,11.0,65.1459168,17.52380952,12.0,16.62413621,17.23809524,19.0,16.33678292,3.04761905,1.0,4.98473861,26.52380952,11.0,33.02971245,70.23809524,64.0,56.24491511,21.42857143,11.0,22.80476141,27.33333333,17.0,26.47325695,41.57142857,43.6,17.86200277
Chelsea,19.69230769,18.0,11.26328276,14.80769231,11.5,11.79158761,442.30769231,364.0,289.81786942,2.26923077,1.0,3.65028977,1.73076923,1.0,2.25490917,3.69230769,2.5,3.19711408,0.03846154,0,0.19611614,2.56538462,0.75,4.20950755,1.96538462,1.05,2.47627822,31.19230769,11.0,41.09892381,57.53846154,34.5,63.00300359,56.80769231,11.5,76.25746874,0.14538462,0.05,0.20468963,0.13153846,0.065,0.18418887,0.15615385,0.08,0.17830484,0.15423077,0.095,0.17029793,1.3,1.3,0.28284271,73.85,73.85,3.46482323,22.15,22.15,7.70746391,10.0,10.0,14.14213562,29.8826087,33.3,21.68031474,0.45461538,0.275,0.48535538,0.09347826,0.07,0.11849851,15.07391304,15.0,4.55623622,648.73076923,521.0,587.29444456,84.05769231,84.75,6.44100446,11225.0,7782.0,10550.48087245,91.06538462,91.9,5.69708292,88.54230769,90.7,7.30222832,57.15384615,57.5,17.98357541,16.80769231,6.5,21.85043566,53.88461538,27.5,58.51244444,12.80769231,4.0,17.11611926,2.73076923,0.0,5.48858956,57.53846154,34.5,63.00300359,38.96153846,15.0,47.75058598,2.31653846,1.72,1.67870651,4.07692308,2.5,4.70678724,0.25346154,0.23,0.24268403,20.73076923,11.0,23.8839824,13.0,8.5,14.76753195,19.38461538,11.5,22.59925118,9.69230769,5.5,12.1087381,12.65384615,9.0,13.84179846,3.73076923,1.5,5.63246086,8.92307692,5.5,10.07143714,9.92307692,7.5,11.4714361,902.23076923,744.5,767.08207163,85.0,20.0,179.55968367,271.61538462,126.5,334.70286248,407.03846154,267.5,412.55821221,231.26923077,92.5,258.92308629,40.84615385,12.0,52.00514767,27.76923077,13.0,34.05091211,11.61538462,5.0,14.61527125,11.69230769,5.0,14.33811489,522.61538462,405.5,421.20769954,1491.15384615,1016.0,1199.76843407,31.19230769,11.0,41.09892381,17.42307692,9.5,19.2336644,11.57692308,1.0,21.69271413,16.34615385,6.0,19.88756859,10.76923077,5.5,12.05423641,643.42307692,523.0,538.66183626,56.80769231,11.5,76.25746874,15.46153846,8.0,16.14739798,15.88461538,10.5,16.90757682,2.34615385,1.0,4.62983635,23.69230769,3.0,40.5963242,55.92307692,38.0,51.39643807,14.26923077,9.5,16.57602532,13.84615385,8.5,14.69337894,46.872,42.1,26.27191974
Everton,21.47826087,23.0,10.11241166,16.73913043,15.0,10.95535316,423.85714286,347.0,259.83419622,1.43478261,1.0,2.1068306,0.95652174,1.0,1.10693109,3.26086957,3.0,2.24048273,0.08695652,0,0.28810407,1.62608696,1.1,2.00413604,1.24347826,0.8,1.11592851,19.43478261,12.0,20.4735441,41.60869565,37.0,35.75642235,40.73913043,24.0,40.92922649,0.08956522,0.03,0.1292453,0.07217391,0.03,0.09811665,0.10652174,0.05,0.12271951,0.07695652,0.05,0.07002823,1.23,1.23,N/a,71.1,71.1,N/a,28.6,28.6,N/a,100.0,100.0,N/a,32.55238095,35.7,23.15678343,0.34695652,0.19,0.37926286,0.08095238,0.05,0.10573102,17.27142857,17.3,5.332555,453.39130435,420.0,345.20398964,73.85217391,73.9,8.46392718,8560.91304348,6998.0,7831.58116459,84.88695652,86.2,7.65371593,78.9826087,83.1,13.35748521,56.42173913,55.3,15.48641506,11.7826087,8.0,9.90847443,40.17391304,35.0,35.10329196,10.39130435,8.0,10.23247562,3.65217391,1.0,5.2967288,41.60869565,37.0,35.75642235,28.13043478,25.0,19.87758982,1.79913043,1.72,1.12706341,2.43478261,2.0,2.1068306,0.17217391,0.1,0.17451117,29.73913043,24.0,28.10890734,17.47826087,13.0,16.88966754,26.30434783,23.0,22.50138336,12.65217391,8.0,11.43602242,15.69565217,11.0,14.36673805,5.60869565,3.0,9.25271032,10.08695652,7.0,8.61770399,13.30434783,9.0,13.0259698,775.04347826,688.0,524.29853382,97.43478261,31.0,213.71430081,277.04347826,144.0,356.65637629,314.08695652,298.0,239.23037832,192.2173913,157.0,147.10044698,28.7826087,18.0,26.1984672,26.0,16.0,29.67245432,11.52173913,8.0,13.20079049,12.52173913,8.0,15.08120313,379.82608696,356.0,253.8481386,1010.17391304,743.0,826.70895462,19.43478261,12.0,20.4735441,14.56521739,10.0,11.71566972,4.86956522,2.0,7.01494734,20.73913043,12.0,20.2511894,15.60869565,11.0,14.33919971,449.04347826,428.0,285.26056323,40.73913043,24.0,40.92922649,17.52173913,15.0,13.7968032,14.95652174,14.0,12.73676947,3.34782609,1.0,6.20563304,27.47826087,7.0,36.37540323,60.95652174,51.0,47.49686905,24.34782609,11.0,29.10265326,22.60869565,15.0,23.49417555,46.24782609,50.0,21.2150219
Fulham,24.5,27.0,9.32865529,17.45454545,17.5,11.4962821,432.0,470.0,277.51156132,2.22727273,0.5,3.26499206,1.90909091,1.0,2.5617905,3.40909091,2.5,2.98662241,0.09090909,0,0.29424494,2.12272727,1.05,2.6848662,1.62727273,1.0,1.88229389,32.81818182,22.0,36.18818061,65.31818182,53.0,49.51804516,64.18181818,39.0,71.84085345,0.16136364,0.015,0.23915119,0.10272727,0.085,0.11695265,0.14590909,0.085,0.15067022,0.10090909,0.085,0.08111773,1.34,1.34,N/a,68.3,68.3,N/a,14.3,14.3,N/a,0.0,0.0,N/a,29.25238095,29.7,18.72115432,0.52363636,0.26,0.57007556,0.07285714,0.05,0.09127666,16.34285714,15.4,4.26621277,678.54545455,652.0,508.42152808,80.42272727,81.65,7.95043765,12124.04545455,11199.0,9949.94735797,88.66363636,90.5,6.53907999,84.37727273,85.25,9.08174159,59.15909091,58.2,12.97380728,16.45454545,10.0,16.94733375,56.5,44.5,48.6618556,13.86363636,8.0,18.89896811,4.5,2.5,7.20945147,65.31818182,53.0,49.51804516,38.63636364,30.5,31.62510373,2.54181818,2.195,1.74316526,4.13636364,3.0,4.26832692,0.22863636,0.18,0.19739483,28.27272727,23.5,23.00555175,17.22727273,12.0,14.42197998,23.72727273,19.0,20.59861719,11.63636364,8.5,11.24423854,15.45454545,14.0,11.20683156,4.59090909,2.0,6.29935062,10.86363636,11.0,8.04922625,12.72727273,8.5,13.71888451,1000.63636364,976.0,689.42353735,109.04545455,26.5,236.86171921,334.95454545,155.5,397.40305524,412.13636364,388.5,324.87701636,264.13636364,209.0,227.07693168,39.04545455,32.0,38.11695945,26.81818182,18.5,27.09355285,11.95454545,8.0,13.22867474,10.81818182,7.0,11.69711549,590.04545455,533.5,418.93725832,1603.36363636,1222.5,1309.06668117,32.81818182,22.0,36.18818061,23.27272727,18.0,23.41180373,9.22727273,4.5,11.15659881,21.22727273,14.5,18.29892481,11.54545455,8.0,11.67711344,671.68181818,632.5,460.8046158,64.18181818,39.0,71.84085345,17.95454545,15.5,14.29777629,14.95454545,15.5,11.0042298,1.86363636,1.0,3.21151877,37.90909091,15.0,51.35396223,67.72727273,61.0,44.73858654,22.31818182,15.0,23.04113581,22.27272727,19.0,21.1731677,45.91363636,47.2,21.26887499
